id,orga
7,"Carleton University, Dept of Geography and Environmental Studies"
13,Swiss Federal Institute of Snow and Avalanche Research
9,Lund University Department of Physical Geography and Ecosystem Science
12,"The George Washington University, Department of Geography"
10,University of Alaska Fairbanks Geophysical Institute
22,Austral Center for Scientific Research 
14,Institute of Environmental Geoscience RAS
11,Geological Survey of Canada
21,Federal University of Viçosa
23,Insubria University
24,University of Waikato
25,Natural Resources Conservation Service
26,"The George Washington University, Department of Geography"
28,University of Alcalá de Henares
31,Institute of Physicochemical and Biological Problems of Soil Science of the RAS
29,IGOT - Universidade de Lisboa
32,Institute of Physicochemical and Biological Problems of Soil Science of the RAS
33,Uppsala University
35,Rhodes University
34,U.S. Geological Survey
37,University of Santiago
36,IANIGLA-CCT CONICET
38,Zentralanstalt für Meteorologie und Geodynamik
42,Yukon Geological Survey
40,Laval University
43,Cold and Arid Regions Environmental and Engineering Research Institute
41,University of Ottawa
39,Geological Survey of Canada
44,Cold and Arid Regions Environmental and Engineering Research Institute
46,Cold and Arid Regions Environmental and Engineering Research Institute
45,Cold and Arid Regions Environmental and Engineering Research Institute
47,University of Oulu
48,University of Graz
50,Asiaq
49,Oslo University
52,U.S. Army - Cold Regions Research and Engineering Laboratory
53,Swedish Nuclear Waste Management
55,Indian and Northern Affairs Canada
51,Technical University of Denmark
56,Indian and Northern Affairs Canada
58,Agenzia Regionale per la Protezione dell'Ambiente della Valle d'Aosta
59,University of Tsukuba
61,University of Alaska Fairbanks Geophysical Institute
57,University of Calgary
64,Hokkaido University
65,Norwegian Meteorological Institute 
62,Institute of Geography Mongolian Academy of Science
60,"University of Alaska, International Arctic Research Center"
66,The University Centre in Svalbard
72,University of Tsukuba
73,Institute of Environmental Geoscience RAS
70,The University Centre in Svalbard
71,Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research
69,The University Centre in Svalbard
75,Institute of the Earth Cryosphere of the Siberian Branch of the RAS
77,Swiss Federal Institute of Snow and Avalanche Research
74,Presidium of Tyumen Scientific Center of SB RAS
76,Institute of the Earth Cryosphere of the Siberian Branch of the RAS
80,Institute of Physicochemical and Biological Problems of Soil Science of the RAS
78,Institute of the Earth Cryosphere of the Siberian Branch of the RAS
79,University of Alaska Fairbanks Geophysical Institute
84,Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research
85,Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research
81,Melnikov Permafrost Institute of the Siberian Branch of the RAS
83,MIREKO State Company
88,University of Barcelona Faculty of Geography and History
91,Stockholm University
90,Stockholm University
93,"University of Lausanne, Institute of Earth Surface Dynamics"
82,Melnikov Permafrost Institute of the Siberian Branch of the RAS
95,"Swiss Federal Institute of Technology, Institute of geotechnics"
94,"University of Fribourg, Departement of Geosciences"
97,"University of Fribourg, Departement of Geosciences"
